original_firstname	original_lastname	first_name	family_name	source	initials	wos_form
REGINA	PALKOVITS	REGINA	PALKOVITS	ISGC	R	PALKOVITS R
FERDI	SCHÜTH	FERDI	SCHUTH	ISGC	F	SCHUTH F
ANTOINE	PICCIRILLI	ANTOINE	PICCIRILLI	ISGC	A	PICCIRILLI A
PHILIPPE	AYRAULT	PHILIPPE	AYRAULT	ISGC	P	AYRAULT P
VINCENT	BONNARME	VINCENT	BONNARME	ISGC	V	BONNARME V
PHILIPPE	BERTRAND	PHILIPPE	BERTRAND	ISGC	P	BERTRAND P
CLAUDIO	OLDANI	CLAUDIO	OLDANI	ISGC	C	OLDANI C
BORIS	ESTRINE	BORIS	ESTRINE	ISGC	B	ESTRINE B
SINISA	MARINKOVIC	SINISA	MARINKOVIC	ISGC	S	MARINKOVIC S
KARINE	DE OLIVEIRA VIGIER	KARINE	DE OLIVEIRA VIGIER	ISGC	K	DE OLIVEIRA VIGIER K
AYMAN	KARAM	AYMAN	KARAM	ISGC	A	KARAM A
FRANÇOIS	JÉRÔME	FRANCOIS	JEROME	ISGC	F	JEROME F
MATTHEW	CLOUGH	MATTHEW	CLOUGH	ISGC	M	CLOUGH M
ROBERTO	RINALDI	ROBERTO	RINALDI	ISGC	R	RINALDI R
ANDREAS	VORHOLT	ANDREAS J	VORHOLT	ISGC	A	VORHOLT A
THIEMO	FASSBACH	THIEMO	FASSBACH	ISGC	T	FASSBACH T
TOM	GAIDE	TOM	GAIDE	ISGC	T	GAIDE T
KADAMBARI	LOKESH	KADAMBARI	LOKESH	ISGC	K	LOKESH K
CHRIS	WEST	CHRIS	WEST	ISGC	C	WEST C
JOHAN	KUYLENSTIERNA	JOHAN	KUYLENSTIERNA	ISGC	J	KUYLENSTIERNA J
JIAJUN	FAN	JIAJUN	FAN	ISGC	J	FAN J
VITALIY	BUDARIN	VITALIY	BUDARIN	ISGC	V	BUDARIN V
PETER	PRIECEL	PETER	PRIECEL	ISGC	P	PRIECEL P
FELIPE	CICARONI FERNANDES	FELIPE	CICARONI FERNANDES	ISGC	F	CICARONI FERNANDES F
PETER R	WILSON	PETER R	WILSON	ISGC	PR	WILSON PR
KERRY	KIRWAN	KERRY	KIRWAN	ISGC	K	KIRWAN K
