name	original_firstname	original_lastname	first_name	family_name	source	initials	wos_form
NAHLA, ARAJI	NAHLA	ARAJI	NAHLA	ARAJI	ISGC	N	ARAJI N
DONATO, ARANDA	DONATO	ARANDA	DONATO	ARANDA	ISGC	D	ARANDA D
MARCIA CAROLINA, ARAQUE MARIN	MARCIA CAROLINA	ARAQUE MARIN	MARCIA CAROLINA	ARAQUE MARIN	ISGC	MC	ARAQUE MARIN MC
MARCIA, ARAQUE MARIN	MARCIA	ARAQUE MARIN	MARCIA CAROLINA	ARAQUE MARIN	ISGC	M	ARAQUE MARIN M
MARCIA, ARAQUE	MARCIA	ARAQUE	MARCIA CAROLINA	ARAQUE MARIN	other	M	ARAQUE M
HUSEYIN, ARBAG	HUSEYIN	ARBAG	HUSEYIN	ARBAG	ISGC	H	ARBAG H
GERARD, ARBAT	GERARD	ARBAT	GERARD	ARBAT	ISGC	G	ARBAT G
DOUNIA, ARCENS	DOUNIA	ARCENS	DOUNIA	ARCENS	ISGC	D	ARCENS D
ISABEL, ARENDS	ISABEL	ARENDS	ISABEL	ARENDS	ISGC	I	ARENDS I
PEDRO L, ARIAS	PEDRO L	ARIAS	PEDRO L	ARIAS	ISGC	PL	ARIAS PL
PEDRO L, ARIAS	PEDRO L	ARIAS	PEDRO LUIS	ARIAS	ISGC	PL	ARIAS PL
PEDRO LUIS, ARIAS	PEDRO LUIS	ARIAS	PEDRO LUIS	ARIAS	ISGC	PL	ARIAS PL
LAURA, ARINGHIERI	LAURA	ARINGHIERI	LAURA	ARINGHIERI	ISGC	L	ARINGHIERI L
ROSSELLA, ARLETTI	ROSSELLA	ARLETTI	ROSSELLA	ARLETTI	ISGC	R	ARLETTI R
MIREILLE, ARNAUD-ROUX	MIREILLE	ARNAUD-ROUX	MIREILLE	ARNAUD ROUX	ISGC	M	ARNAUD-ROUX M
MIREILLE, ARNAUD ROUX	MIREILLE	ARNAUD ROUX	MIREILLE	ARNAUD ROUX	ISGC	M	ARNAUD ROUX M
ROCÍO, AROCA	ROCÍO	AROCA	ROCIO	AROCA	ISGC	R	AROCA R
ROCIO, VILLA	ROCIO	VILLA	ROCIO	AROCA	ISGC	R	VILLA R
ROCIO, AROCA	ROCIO	AROCA	ROCIO	AROCA	ISGC	R	AROCA R
NEENA, ARORA	NEENA	ARORA	NEENA	ARORA	ISGC	N	ARORA N
MOHAMED KHEIREDDINE, AROUA	MOHAMED KHEIREDDINE	AROUA	MOHAMED KHEIREDDINE	AROUA	ISGC	MK	AROUA MK
ANTONIO, ARQUES	ANTONIO	ARQUES	ANTONIO	ARQUES	ISGC	A	ARQUES A
PHILIPPE, ARQUILLIÈRE	PHILIPPE	ARQUILLIÈRE	PHILIPPE	ARQUILLIERE	ISGC	P	ARQUILLIERE P
PHILIPPE, ARQUILLIERE	PHILIPPE	ARQUILLIERE	PHILIPPE	ARQUILLIERE	ISGC	P	ARQUILLIERE P
